
  0.012  0.094  0.034  0.023  0.000  0.129  0.042  0.025  0.214  0.013  0.013  0.027  0.017  0.017  0.095  0.097  0.088  0.050  0.010
  0.000  0.082  0.035  0.009  0.013  0.132  0.073  0.000  0.293  0.003  0.025  0.006  0.003  0.025  0.164  0.032  0.082  0.022  0.000
  0.017  0.085  0.085  0.017  0.017  0.034  0.102  0.059  0.169  0.017  0.017  0.008  0.000  0.144  0.093  0.051  0.025  0.042  0.017
  0.000  0.118  0.043  0.000  0.000  0.108  0.097  0.027  0.129  0.000  0.000  0.016  0.027  0.081  0.059  0.086  0.167  0.043  0.000
  0.019  0.148  0.105  0.081  0.008  0.167  0.060  0.013  0.030  0.013  0.023  0.017  0.051  0.019  0.000  0.139  0.045  0.051  0.013
  0.001  0.047  0.046  0.020  0.025  0.143  0.038  0.004  0.276  0.000  0.029  0.014  0.030  0.046  0.114  0.028  0.076  0.060  0.001
  0.000  0.109  0.072  0.021  0.046  0.097  0.040  0.007  0.207  0.010  0.012  0.041  0.036  0.024  0.063  0.059  0.091  0.067  0.000
  0.013  0.233  0.093  0.013  0.000  0.009  0.065  0.013  0.118  0.013  0.018  0.022  0.013  0.014  0.050  0.122  0.095  0.086  0.013
  0.000  0.104  0.078  0.000  0.000  0.124  0.000  0.000  0.171  0.000  0.026  0.026  0.000  0.016  0.187  0.093  0.098  0.078  0.000
  0.000  0.073  0.042  0.019  0.023  0.110  0.052  0.007  0.234  0.002  0.032  0.020  0.038  0.051  0.098  0.034  0.101  0.062  0.000
  0.001  0.055  0.030  0.001  0.016  0.198  0.036  0.001  0.300  0.010  0.003  0.012  0.000  0.033  0.123  0.061  0.067  0.051  0.001
  0.006  0.116  0.063  0.013  0.025  0.122  0.019  0.006  0.213  0.006  0.006  0.000  0.034  0.029  0.109  0.055  0.103  0.067  0.006
  0.031  0.076  0.054  0.041  0.042  0.084  0.046  0.038  0.150  0.036  0.044  0.000  0.041  0.041  0.079  0.056  0.057  0.053  0.031
  0.000  0.076  0.095  0.032  0.029  0.170  0.038  0.006  0.196  0.002  0.021  0.005  0.014  0.038  0.094  0.072  0.065  0.048  0.000
  0.029  0.054  0.067  0.010  0.000  0.061  0.029  0.029  0.240  0.045  0.035  0.010  0.022  0.026  0.179  0.042  0.006  0.087  0.029
  0.000  0.110  0.045  0.033  0.043  0.102  0.074  0.000  0.184  0.004  0.017  0.029  0.038  0.028  0.078  0.059  0.115  0.038  0.000
  0.022  0.000  0.110  0.055  0.055  0.198  0.022  0.022  0.209  0.022  0.022  0.022  0.022  0.022  0.033  0.099  0.022  0.022  0.022
  0.000  0.047  0.033  0.030  0.040  0.177  0.030  0.003  0.321  0.006  0.006  0.005  0.043  0.018  0.119  0.019  0.045  0.058  0.000
  0.000  0.102  0.034  0.000  0.057  0.341  0.000  0.000  0.239  0.000  0.000  0.023  0.034  0.000  0.057  0.034  0.045  0.034  0.000
  0.019  0.200  0.144  0.037  0.047  0.019  0.019  0.019  0.153  0.009  0.019  0.000  0.047  0.023  0.047  0.056  0.070  0.056  0.019
  0.016  0.036  0.000  0.085  0.016  0.129  0.125  0.020  0.190  0.040  0.024  0.133  0.028  0.012  0.020  0.020  0.073  0.016  0.016
  0.020  0.192  0.089  0.020  0.000  0.092  0.045  0.020  0.084  0.017  0.026  0.034  0.035  0.011  0.064  0.091  0.081  0.056  0.020
  0.001  0.084  0.087  0.047  0.050  0.150  0.026  0.003  0.187  0.001  0.009  0.000  0.048  0.023  0.095  0.090  0.060  0.037  0.001
  0.000  0.060  0.048  0.010  0.042  0.140  0.068  0.000  0.282  0.000  0.000  0.012  0.014  0.020  0.120  0.028  0.106  0.050  0.000
  0.000  0.116  0.092  0.050  0.047  0.172  0.007  0.000  0.136  0.006  0.006  0.011  0.019  0.011  0.075  0.107  0.095  0.050  0.000
  0.000  0.090  0.056  0.009  0.026  0.064  0.098  0.000  0.278  0.000  0.021  0.013  0.000  0.026  0.137  0.051  0.090  0.043  0.000
  0.010  0.143  0.029  0.000  0.000  0.057  0.057  0.010  0.219  0.010  0.010  0.067  0.000  0.000  0.057  0.086  0.152  0.086  0.010
  0.002  0.141  0.080  0.006  0.004  0.048  0.037  0.002  0.115  0.000  0.009  0.115  0.019  0.009  0.039  0.152  0.186  0.035  0.002
  0.006  0.040  0.000  0.023  0.017  0.104  0.104  0.006  0.243  0.006  0.040  0.012  0.006  0.040  0.075  0.029  0.185  0.058  0.006
  0.003  0.140  0.092  0.014  0.048  0.164  0.000  0.003  0.120  0.014  0.003  0.003  0.021  0.021  0.120  0.106  0.062  0.062  0.003
  0.005  0.048  0.048  0.005  0.005  0.087  0.072  0.067  0.173  0.005  0.072  0.000  0.043  0.106  0.111  0.058  0.058  0.034  0.005
  0.000  0.145  0.088  0.000  0.000  0.107  0.038  0.000  0.214  0.000  0.000  0.013  0.000  0.013  0.138  0.145  0.057  0.044  0.000
  0.000  0.190  0.020  0.000  0.000  0.007  0.046  0.000  0.150  0.000  0.000  0.072  0.000  0.085  0.078  0.078  0.242  0.033  0.000
  0.017  0.033  0.017  0.017  0.011  0.039  0.133  0.017  0.289  0.017  0.044  0.011  0.000  0.061  0.100  0.017  0.083  0.078  0.017
  0.033  0.120  0.033  0.033  0.053  0.040  0.060  0.033  0.093  0.033  0.033  0.033  0.033  0.073  0.053  0.000  0.147  0.060  0.033
  0.014  0.105  0.049  0.014  0.084  0.126  0.035  0.014  0.168  0.014  0.014  0.070  0.000  0.070  0.035  0.049  0.112  0.014  0.014
  0.003  0.302  0.111  0.003  0.003  0.016  0.065  0.003  0.071  0.000  0.011  0.022  0.003  0.011  0.082  0.092  0.158  0.043  0.003
  0.005  0.082  0.108  0.063  0.159  0.150  0.000  0.005  0.088  0.018  0.012  0.036  0.074  0.015  0.093  0.010  0.055  0.021  0.005
  0.000  0.082  0.000  0.000  0.000  0.156  0.033  0.000  0.189  0.000  0.041  0.033  0.066  0.057  0.098  0.049  0.197  0.000  0.000
  0.029  0.029  0.029  0.029  0.010  0.136  0.058  0.029  0.223  0.029  0.039  0.000  0.029  0.078  0.058  0.019  0.136  0.010  0.029
  0.003  0.104  0.050  0.022  0.019  0.170  0.035  0.003  0.154  0.000  0.003  0.003  0.009  0.022  0.094  0.094  0.085  0.126  0.003
  0.000  0.125  0.091  0.048  0.074  0.138  0.015  0.005  0.143  0.012  0.000  0.000  0.042  0.012  0.102  0.078  0.085  0.030  0.000
  0.002  0.105  0.065  0.049  0.047  0.177  0.044  0.006  0.160  0.007  0.005  0.000  0.030  0.022  0.130  0.035  0.081  0.033  0.002
  0.000  0.118  0.091  0.028  0.039  0.098  0.027  0.001  0.153  0.005  0.006  0.026  0.042  0.027  0.058  0.124  0.086  0.073  0.000
  0.000  0.104  0.096  0.048  0.059  0.185  0.052  0.000  0.111  0.019  0.011  0.004  0.022  0.000  0.100  0.085  0.063  0.041  0.000
  0.000  0.123  0.043  0.005  0.019  0.024  0.071  0.000  0.280  0.000  0.000  0.000  0.005  0.057  0.152  0.043  0.100  0.081  0.000
  0.008  0.000  0.017  0.008  0.017  0.102  0.102  0.017  0.331  0.008  0.051  0.025  0.034  0.102  0.068  0.034  0.051  0.017  0.008
  0.002  0.088  0.079  0.005  0.046  0.074  0.046  0.000  0.206  0.021  0.035  0.021  0.021  0.046  0.072  0.065  0.090  0.081  0.002
  0.050  0.000  0.034  0.058  0.064  0.073  0.081  0.055  0.102  0.044  0.056  0.047  0.076  0.055  0.041  0.029  0.048  0.038  0.050
  0.011  0.011  0.011  0.011  0.011  0.098  0.087  0.065  0.283  0.011  0.022  0.076  0.065  0.043  0.163  0.011  0.011  0.000  0.011
  0.014  0.160  0.156  0.014  0.028  0.075  0.019  0.014  0.104  0.014  0.014  0.019  0.000  0.024  0.108  0.090  0.047  0.085  0.014
